# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Существует ли жизнь на Марсе?;Науке это пока неизвестно%true|Конечно. Красная НЛО — с Марса. А зеленая — с Венеры%false|Абсолютно нет%false
Как следует загружать ресурсы из jar в Java?;ClassLoader#getResourceAsStream или ClassPathResource#getInputStream%true|ClassLoader#getResource#getFile + FileReader%false|Вингардиум Левиоса%false
Какой вариант является хорошим способом обработки исключения?;@SneakyThrow%false|e.printStackTrace()%false|Повторное выбрасывание с оборачиванием в бизнес-исключение (например, QuestionReadException)%true|Игнорирование исключения%false
Каково значение по умолчанию локальной переменной в Java?;null%false|0%false|Зависит от типа%false|Локальные переменные должны быть инициализированы перед использованием, у них нет значения по умолчанию%true
Какой тип коллекции гарантирует порядок элементов?;HashSet%false|HashMap%false|ArrayList (порядок добавления) и TreeSet (отсортированный порядок)%true|LinkedList (порядок добавления) и PriorityQueue (порядок приоритета)%true
Что делает блок 'finally' при обработке исключений?;Всегда выполняется после try/catch независимо от исключения%true|Выполняется, только если исключение не возникло%false|Выполняется, только если исключение возникло%false|Может использоваться без блока catch%true
Какие аннотации используются для внедрения зависимостей в Spring?;@Autowired%true|@Inject%true|@Resource%true|@Service (стереотипная, не для внедрения)%false
В чем разница между абстрактным классом и интерфейсом?;Абстрактный класс может иметь состояние (поля), интерфейс — нет%true|Интерфейс может иметь методы по умолчанию (Java 8+), абстрактный класс — нет%false (могут оба)|Класс может наследовать несколько абстрактных классов%false|Класс может реализовывать несколько интерфейсов%true
Как работает HashMap внутренне?;Использует массив Node<K,V> (корзин)%true|Использует hashCode() для определения индекса корзины%true|Использует equals() для поиска точного ключа в корзине%true|Автоматически сортирует ключи%false
Какие из перечисленных являются функциональными интерфейсами в Java 8+?;Runnable%true|Callable%true|Comparator%true|ArrayList%false
