# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Is there life on Mars?;Science doesn't know this yet%true|Certainly. The red UFO is from Mars. And green is from Venus%false|Absolutely not%false
How should resources be loaded form jar in Java?;ClassLoader#geResourceAsStream or ClassPathResource#getInputStream%true|ClassLoader#geResource#getFile + FileReader%false|Wingardium Leviosa%false
Which option is a good way to handle the exception?;@SneakyThrow%false|e.printStackTrace()%false|Rethrow with wrapping in business exception (for example QuestionReadException)%true|Ignoring exception%false
What is the default value of a local variable in Java?;null%false|0%false|It depends on the type%false|Local variables must be initialized before use, they have no default value%true
Which collection type guarantees elements order?;HashSet%false|HashMap%false|ArrayList (insertion order) and TreeSet (sorted order)%true|LinkedList (insertion order) and PriorityQueue (priority order)%true
What does the 'finally' block do in exception handling?;Always executes after try/catch regardless of exception%true|Executes only if no exception occurs%false|Executes only if an exception occurs%false|Can be used without catch block%true
Which annotations are used for dependency injection in Spring?;@Autowired%true|@Inject%true|@Resource%true|@Service (stereotype, not injection)%false
What is the difference between abstract class and interface?;Abstract class can have state (fields), interface cannot%true|Interface can have default methods (Java 8+), abstract class cannot%false (both can)|Class can extend multiple abstract classes%false|Class can implement multiple interfaces%true
How does HashMap work internally?;Uses array of Node<K,V> (buckets)%true|Uses hashCode() to determine bucket index%true|Uses equals() to find exact key in bucket%true|Automatically sorts keys%false
Which of these are functional interfaces in Java 8+?;Runnable%true|Callable%true|Comparator%true|ArrayList%false
